time	V(n001)
4.960772888578731e-01	2.232147e+01
4.960772951759749e-01	2.232147e+01
4.960773013866466e-01	2.232147e+01
4.960773073504026e-01	2.232147e+01
4.960773141190123e-01	2.232147e+01
4.960773199333555e-01	2.232147e+01
4.960773252105094e-01	2.232147e+01
4.960773315489202e-01	2.232147e+01
4.960773378428828e-01	2.232147e+01
4.960773438442999e-01	2.232147e+01
4.960773506427122e-01	2.232147e+01
4.960773564501955e-01	2.232147e+01
4.960773617531669e-01	2.232147e+01
4.960773681018244e-01	2.232147e+01
4.960773743050577e-01	2.232147e+01
4.960773802953789e-01	2.232147e+01
4.960773870956806e-01	2.232147e+01
4.960773928729928e-01	2.232147e+01
4.960773981831673e-01	2.232147e+01
4.960774045454932e-01	2.232147e+01
4.960774107553841e-01	2.232147e+01
4.960774167607689e-01	2.232147e+01
4.960774235788958e-01	2.232147e+01
4.960774293472586e-01	2.232147e+01
4.960774346769922e-01	2.232147e+01
4.960774410526909e-01	2.232147e+01
4.960774472175459e-01	2.232147e+01
4.960774532254234e-01	2.232147e+01
4.960774600527730e-01	2.232147e+01
4.960774657950234e-01	2.232147e+01
4.960774711367935e-01	2.232147e+01
4.960774775249886e-01	2.232147e+01
4.960774836702377e-01	2.232147e+01
4.960774896864171e-01	2.232147e+01
4.960774965273705e-01	2.232147e+01
4.960775022555460e-01	2.232147e+01
4.960775076139784e-01	2.232147e+01
4.960775140158384e-01	2.232147e+01
4.960775201302556e-01	2.232147e+01
4.960775261529661e-01	2.232147e+01
4.960775330055460e-01	2.232147e+01
4.960775387113995e-01	2.232147e+01
4.960775440841284e-01	2.232147e+01
4.960775504986589e-01	2.232147e+01
4.960775565860747e-01	2.232147e+01
4.960775626158064e-01	2.232147e+01
4.960775694807869e-01	2.232147e+01
4.960775751691366e-01	2.232147e+01
4.960775805575490e-01	2.232147e+01
4.960775869855222e-01	2.232147e+01
4.960775930453369e-01	2.232147e+01
4.960775990826344e-01	2.232147e+01
4.960776059598704e-01	2.232147e+01
4.960776116277440e-01	2.232147e+01
4.960776170314182e-01	2.232147e+01
4.960776234723612e-01	2.232147e+01
4.960776295037638e-01	2.232147e+01
4.960776355483411e-01	2.232147e+01
4.960776424377752e-01	2.232147e+01
4.960776480864504e-01	2.232147e+01
4.960776535057033e-01	2.232147e+01
4.960776599599330e-01	2.232147e+01
4.960776659638524e-01	2.232147e+01
4.960776720163289e-01	2.232147e+01
4.960776789181234e-01	2.232147e+01
4.960776845468251e-01	2.232147e+01
4.960776899817869e-01	2.232147e+01
4.960776964491747e-01	2.232147e+01
4.960777024246632e-01	2.232147e+01
4.960777084849451e-01	2.232147e+01
4.960777153989895e-01	2.232147e+01
4.960777210077519e-01	2.232147e+01
4.960777264585125e-01	2.232147e+01
4.960777329391549e-01	2.232147e+01
4.960777388867316e-01	2.232147e+01
4.960777449552032e-01	2.232147e+01
4.960777518816161e-01	2.232147e+01
4.960777574702963e-01	2.232147e+01
4.960777629370695e-01	2.232147e+01
4.960777694309757e-01	2.232147e+01
4.960777753501691e-01	2.232147e+01
4.960777814269400e-01	2.232147e+01
4.960777883656856e-01	2.232147e+01
4.960777939340495e-01	2.232147e+01
4.960777994169357e-01	2.232147e+01
4.960778059241376e-01	2.232147e+01
4.960778118150381e-01	2.232147e+01
4.960778179003578e-01	2.232147e+01
4.960778248514926e-01	2.232147e+01
4.960778303994716e-01	2.232147e+01
4.960778358986615e-01	2.232147e+01
4.960778424192011e-01	2.232147e+01
4.960778482816129e-01	2.232147e+01
4.960778543756771e-01	2.232147e+01
4.960778613392115e-01	2.232147e+01
4.960778668665879e-01	2.232147e+01
4.960778723822249e-01	2.232147e+01
4.960778789161310e-01	2.232147e+01
4.960778847499607e-01	2.232147e+01
4.960778908529809e-01	2.232147e+01
4.960778978289470e-01	2.232147e+01
4.960779033356075e-01	2.232147e+01
4.960779088678696e-01	2.232147e+01
4.960779154151884e-01	2.232147e+01
4.960779212203051e-01	2.232147e+01
4.960779273324983e-01	2.232147e+01
4.960779343209237e-01	2.232147e+01
4.960779398066897e-01	2.232147e+01
4.960779453557441e-01	2.232147e+01
4.960779519165126e-01	2.232147e+01
4.960779576927716e-01	2.232147e+01
4.960779638143486e-01	2.232147e+01
4.960779708152612e-01	2.232147e+01
4.960779762799941e-01	2.232147e+01
4.960779818460184e-01	2.232147e+01
